Angle data
0,58,2498.7634
0.04363,95,1670.4379
0.08727,115,1922.0807
0.1309,106,1645.3704
0.1745,77,1457.5044
0.2182,111,1514.8477
0.2618,61,1156.6751
0.3054,72,798.2456
0.3491,49,877.5763
0.3927,165,1572.9546
0.4363,115,1759.0717
0.48,104,1439.7083
0.5236,111,1715.3411
0.5672,89,1706.5352
0.6109,105,2007.511
0.6545,99,2005.6551
0.6981,78,1967.6668
0.7418,54,1603.322
0.7854,43,2208.444
0.829,57,939.1843
0.8727,74,1401.1898
0.9163,95,1104.6724
0.9599,75,1125.5534
1.0036,96,1190.7591
1.0472,118,1645.2929
1.0908,89,1528.7761
1.1345,64,1206.5839
1.1781,150,2091.6573
1.2217,112,1853.8208
1.2654,92,1122.7134
1.309,115,1367.4059
1.3526,86,1354.9903
1.3963,102,1389.6361
1.4399,127,1414.1569
1.4835,100,1220.5229
1.5272,39,703.3387
1.5708,59,2088.6958
1.6144,89,1109.1776
1.6581,90,1209.1811
1.7017,85,869.3924
1.7453,87,990.2822
1.789,130,1366.9107
1.8326,90,938.0538
1.8762,79,857.7355
1.9199,59,903.2151
1.9635,154,1340.5399
2.0071,81,1025.6367
2.0508,65,823.7481
2.0944,100,961.6691
2.138,72,1055.585
2.1817,95,1254.7776
2.2253,113,1743.6081
2.2689,88,1227.5957
2.3126,51,1273.7061
2.3562,65,2439.0681
2.3998,100,1500.7404
2.4435,97,1583.7969
2.4871,111,1947.7133
2.5307,110,2210.5558
2.5744,162,3585.4759
2.618,103,1258.2703
2.6616,107,1558.6436
2.7053,79,1604.7632
2.7489,169,2005.4401
2.7925,92,1861.3555
2.8362,129,2632.8715
2.8798,128,2693.8794
2.9234,90,1861.2568
2.9671,123,2171.3801
3.0107,106,1885.9289
3.0543,133,2310.7526
3.098,77,1765.4549
