trackID trackLength(s) totalDisplacement(um) meanVelocity(um/s) totalDistance(um) meanSpeed(um/s) minSpeed(um/s) maxSpeed(um/s) stdevSpeed(um/s) meanPersistence minPersistence maxPersistence stdevPersistence tumblingPropensityV tumblingPropensityP positionX(px) positionY(px) displacementX(um) displacementY(um)
34 7.9 63.2001 8 56.4622 9.5699 2.7626 16.0705 3.6571 0.9642 0.9099 1 0.02985 0.0339 0 519.3736 516.1943 -17.4454 60.7446
35 12.3 6.7608 0.5497 24.7617 2.404 0.599 5.9522 1.5393 0.2463 -0.9998 1 0.7475 1 0.6024 293.1113 379.8741 2.3513 -6.3387
36 6.7 52.4469 7.8279 77.6394 16.519 3.8605 32.0718 7.8636 0.4905 -0.3697 1 0.4749 0.2553 0.6667 226.2016 572.6422 -36.5083 37.6539
37 12.3 44.7067 3.6347 64.6633 6.278 0.6518 13.5776 3.3932 0.7054 -0.08956 0.999 0.2731 0.6893 0.4699 21.0992 63.9677 37.6294 -24.1396
38 12.3 8.9809 0.7302 40.9285 3.9736 0.549 7.6856 1.9484 -0.4659 -1 0.997 0.6032 1 0.9157 506.9321 59.4317 8.9326 0.9297
39 6.3 7.2666 1.1534 31.1649 7.2476 0.5495 27.5026 5.9595 0.09116 -0.6934 0.9992 0.6988 0.9535 0.6522 897.7105 492.7897 -5.1317 5.1448
40 6.5 8.5046 1.3084 34.0623 7.5694 0.5562 22.4989 6.2134 -0.4084 -0.9999 0.9993 0.7806 0.8222 0.84 740.0378 468.4109 -0.2582 8.5006
41 7.9 5.8882 0.7453 36.1093 6.1202 0.5893 16.1854 4.2733 0.3098 -0.9479 0.9995 0.5983 1 0.641 621.208 486.0676 1.251 -5.7538
42 10.9 33.9505 3.1147 58.8103 6.6079 0.5209 20.32 3.974 0.9069 0.4708 0.9997 0.1021 0.9888 0.07246 654.6814 59.6251 33.8931 1.9738
43 12.3 10.5855 0.8606 43.9146 4.2636 0.4138 10.5837 2.7951 0.3127 -0.9979 0.9994 0.7288 1 0.6145 981.5569 158.0581 8.2741 6.6023
44 8.3 22.9616 2.7665 48.1724 7.6464 0.4632 29.3441 6.4582 -0.185 -0.9618 0.9876 0.5928 0.8095 0.9302 994.3588 31.1118 20.2992 -10.7322
45 6.9 7.8698 1.1406 68.8939 14.06 2.8435 46.2005 9.7928 -0.2897 -0.9116 0.929 0.6482 0.2041 0.8621 704.7256 727.9269 7.7904 1.1151
46 6.1 2.1581 0.3538 31.2787 7.629 0.583 22.6055 5.8065 -0.3964 -0.9998 0.9905 0.6541 1 0.9524 245.8907 145.5069 -0.4354 -2.1137
47 9.5 97.58 10.2716 109.9241 14.6566 3.4907 31.4501 7.509 0.9498 0.7853 0.9996 0.04797 0.1333 0 63.4306 413.6964 26.0033 -94.0515
48 12.3 17.9374 1.4583 53.4878 5.193 0.82 14.1515 3.291 -0.1367 -0.9951 0.8922 0.6485 0.9417 0.9518 -1.388 655.7942 9.6601 -15.114
49 11.1 14.2833 1.2868 53.4103 5.8693 0.4854 23.2118 6.1052 0.7235 -0.7198 1 0.4465 1 0.2676 969.9229 -1.9108 13.6673 4.1496
50 12.3 25.3181 2.0584 61.9056 6.0103 0.8 23.7737 5.0279 0.1618 -0.9925 0.9999 0.623 0.9417 0.759 63.6082 647.6498 11.4693 22.5713
51 5.3 13.7133 2.5874 16.6169 5.0354 0.594 14.7819 3.2124 0.8964 0.6785 0.9985 0.1228 1 0.1538 817.6278 539.6645 6.8844 -11.86
52 12.3 31.2065 2.5371 68.2695 6.6281 0.5351 22.3371 4.2676 0.799 -0.7385 1 0.3217 1 0.1928 704.4461 2.0166 29.8774 9.0104
53 12.3 40.7334 3.3117 62.3741 6.0557 0.656 13.0516 3.1674 0.8242 -0.8958 1 0.3745 0.6602 0.1084 635.0367 593.2408 34.6455 -21.4219
54 6.9 9.0783 1.3157 32.1727 6.5659 0.5166 16.7213 3.7112 0.3829 -0.9379 0.9999 0.8021 1 0.4138 817.5991 -1.1805 8.9058 1.7616
55 5.3 12.8627 2.4269 23.7805 7.2062 0.8206 24.5117 6.0264 0.8229 0.4272 0.9999 0.1825 1 0.3077 114.6469 675.4753 -5.9502 -11.4037
56 5.9 46.7059 7.9162 48.9617 12.5543 4.3021 27.2717 5.5746 0.8094 0.2599 1 0.2302 0 0.3158 664.9753 255.4693 0.8375 -46.6984
57 6.1 34.7911 5.7035 43.4591 10.5998 3.6178 22.1715 5.2903 0.8963 0.6774 0.9999 0.1183 0.2927 0.2381 553.2774 481.7461 -3.4521 34.6194
58 12.3 47.906 3.8948 145.1711 14.0943 0.7268 43.7581 10.3905 0.5485 -0.8438 0.9999 0.6197 0.1262 0.3253 361.9438 617.3482 -41.3533 -24.1844
