Angle data
0,82,1303.942
0.04363,89,1515.3286
0.08727,86,1724.5331
0.1309,88,1289.3837
0.1745,73,1230.7505
0.2182,100,1649.2146
0.2618,72,1102.3614
0.3054,60,938.2713
0.3491,61,814.7292
0.3927,85,1150.2548
0.4363,80,1118.6661
0.48,91,1447.8314
0.5236,89,1675.6322
0.5672,109,1984.8283
0.6109,101,1857.5722
0.6545,118,2010.1801
0.6981,117,2137.2372
0.7418,120,2474.9407
0.7854,87,1703.8796
0.829,90,1565.425
0.8727,84,1428.8615
0.9163,108,1273.7184
0.9599,94,1266.1702
1.0036,105,1335.7132
1.0472,104,1323.6472
1.0908,165,2234.8725
1.1345,125,2055.7053
1.1781,143,1883.5733
1.2217,149,2403.0458
1.2654,119,1515.6103
1.309,136,1618.0578
1.3526,140,2011.3878
1.3963,134,1621.262
1.4399,152,1889.0553
1.4835,124,1412.8387
1.5272,144,1803.5141
1.5708,140,1814.3991
1.6144,154,1470.1852
1.6581,138,1467.4583
1.7017,147,1317.5379
1.7453,120,1300.4269
1.789,140,1529.4251
1.8326,101,1026.0643
1.8762,115,1203.4808
1.9199,94,1137.9346
1.9635,94,1139.2605
2.0071,95,952.8597
2.0508,98,1104.6961
2.0944,85,1011.48
2.138,101,1186.8191
2.1817,117,1474.4373
2.2253,103,1408.1436
2.2689,119,1688.8588
2.3126,104,1634.5992
2.3562,83,1247.8392
2.3998,99,1501.3074
2.4435,117,1598.9699
2.4871,94,1434.6718
2.5307,127,2660.185
2.5744,95,2371.8342
2.618,95,1252.2885
2.6616,81,1176.6192
2.7053,103,1567.887
2.7489,87,1356.7596
2.7925,89,1836.4692
2.8362,92,2298.5467
2.8798,102,2437.4601
2.9234,72,1580.8014
2.9671,89,1537.3637
3.0107,97,1638.3474
3.0543,109,1843.7434
3.098,111,1928.2758
