trackID trackLength(s) totalDisplacement(um) meanVelocity(um/s) totalDistance(um) meanSpeed(um/s) minSpeed(um/s) maxSpeed(um/s) stdevSpeed(um/s) meanPersistence minPersistence maxPersistence stdevPersistence tumblingPropensityV tumblingPropensityP positionX(px) positionY(px) displacementX(um) displacementY(um)
36 6.7 56.9928 8.5064 78.7848 16.7627 3.25 32.5 7.9563 0.5687 -0.2578 0.9997 0.4345 0.1915 0.5556 229.1493 570.5075 -40.3 40.3
37 12.3 39.6234 3.2214 61.5726 5.9779 0 13.7886 3.5034 0.6341 -0.9806 0.9999 0.4079 0.7282 0.494 27.0081 65.5772 29.9 -26
38 12.3 2.9069 0.2363 39.6366 3.8482 0 7.2672 2.0754 -0.3214 -1 0.9417 0.5584 1 0.95 511.7967 61.1545 2.6 -1.3
39 6.3 10.5812 1.6796 30.9808 7.2048 0 27.768 6.1557 0.2921 -0.3846 0.9979 0.582 0.8605 0.6087 899.7619 491.1984 -7.8 7.15
40 6.5 10.896 1.6763 34.2062 7.6014 0 22.981 6.3851 -0.3594 -0.9995 0.9791 0.8111 0.7111 0.8 742.3308 466.9077 -3.25 10.4
41 7.9 4.162 0.5268 35.5766 6.0299 0 16.5718 4.3708 0.1996 -0.9995 0.9971 0.6985 1 0.6579 624.1646 484.0949 -2.6 -3.25
42 10.9 28.6 2.6239 56.3336 6.3296 0 19.769 4.0316 0.8699 0.2249 0.9996 0.1436 1 0.1159 658.7248 61.1651 28.6 0
43 12.3 6.6922 0.5441 42.2862 4.1055 0 10.2774 2.8718 0.2744 -1 1 0.7196 1 0.6988 985.4187 158.7195 3.25 5.85
44 8.3 20.9316 2.5219 47.7917 7.586 0 29.0689 6.4177 -0.2697 -0.9995 0.9983 0.5803 0.8254 0.9535 996.9398 32.488 16.9 -12.35
45 6.9 6.9096 1.0014 68.7913 14.039 3.25 46.5329 9.6783 -0.3569 -0.9582 0.8809 0.6409 0.2449 0.8966 707.2101 724.6957 4.55 5.2
46 6.1 4.6872 0.7684 30.8504 7.5245 0 22.981 5.9535 -0.003261 -0.9899 0.9806 0.7921 1 0.6842 248.5574 145.8852 -3.9 -2.6
47 9.5 93.2042 9.811 107.8693 14.3826 3.25 30.6604 7.3569 0.9442 0.771 0.9997 0.05117 0.1333 0 67.9105 411.7263 20.15 -91
48 12.3 8.6721 0.705 50.9537 4.947 0 13.4001 3.2873 -0.3289 -1 0.774 0.6462 1 0.9878 4.5569 650.7927 1.95 -8.45
49 11.1 9.1924 0.8281 51.287 5.6359 0 22.75 6.1982 0.3808 -1 1 0.8442 1 0.3906 973.4324 0.2793 9.1 1.3
50 12.3 28.8647 2.3467 61.1634 5.9382 0 23.4361 5.2201 0.2853 -0.8087 1 0.5587 0.9223 0.759 69.4146 642.8455 3.9 28.6
51 5.3 10.7594 2.0301 15.6657 4.7472 0 14.5344 3.2799 0.8566 0.534 0.9965 0.1778 1 0.3077 819.4245 538.0849 4.55 -9.75
52 12.3 24.7513 2.0123 65.8774 6.3959 0 21.8017 4.2581 0.6555 -0.9947 1 0.5452 1 0.3766 708.9065 4.4024 24.05 5.85
53 12.3 32.5779 2.6486 58.5493 5.6844 0 13.4001 3.2003 0.7653 -0.9997 1 0.4776 0.7379 0.1807 639.6504 588.9268 28.6 -15.6
54 6.9 5.85 0.8478 31.5488 6.4385 0 16.25 3.6844 0.1327 -1 1 0.9951 1 0.4286 819.9493 0.1739 5.85 0
55 5.3 12.4182 2.3431 23.2498 7.0454 0 24.7513 6.1857 0.798 0.2591 0.9992 0.2186 1 0.3077 117.0755 673.2358 -9.1 -8.45
56 5.9 46.1912 7.829 48.7989 12.5125 4.5962 26.8002 5.477 0.81 0.2516 0.999 0.23 0 0.3158 667.1271 255.178 -1.95 -46.15
57 6.1 36.9758 6.0616 44.4433 10.8398 3.25 21.8017 5.2881 0.9136 0.7134 0.9996 0.0965 0.1951 0.04762 555.623 480.3115 -6.5 36.4
